organic,organic_molarity,solvent,solvent_molarity,inorganic_molarity,acid_molarity,alpha_vial_volume,beta_vial_volume,reaction_time,reaction_temperature,crystal_score,objective,default_features,procedure
Ethylammonium Iodide,1.4148057318267522,Gamma-Butyrolactone,7.82612293426468,0.6476518625530959,6.116412373201425,0.00065,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4148057318267522, 7.82612293426468, 0.6476518625530959, 6.116412373201425, 0.00065, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.4148057318267522 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.82612293426468 M
    - Inorganic molarity: 0.6476518625530959 M
    - Acid molarity: 6.116412373201425 M
    - Volume in alpha vial: 0.00065 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.715131475026473,Gamma-Butyrolactone,7.427793564156183,0.7823211566296019,5.990170631752477,0.000646,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.715131475026473, 7.427793564156183, 0.7823211566296019, 5.990170631752477, 0.000646, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.715131475026473 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.427793564156183 M
    - Inorganic molarity: 0.7823211566296019 M
    - Acid molarity: 5.990170631752477 M
    - Volume in alpha vial: 0.000646 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.7576500086558342,Gamma-Butyrolactone,8.118530134012289,0.4240642912138791,5.19862273520764,0.000622,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7576500086558342, 8.118530134012289, 0.4240642912138791, 5.19862273520764, 0.000622, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.7576500086558342 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.118530134012289 M
    - Inorganic molarity: 0.4240642912138791 M
    - Acid molarity: 5.19862273520764 M
    - Volume in alpha vial: 0.000622 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.1655077275783785,Gamma-Butyrolactone,7.227637369755611,0.3173793690405272,8.547506722080037,0.000738,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.1655077275783785, 7.227637369755611, 0.3173793690405272, 8.547506722080037, 0.000738, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.1655077275783785 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.227637369755611 M
    - Inorganic molarity: 0.3173793690405272 M
    - Acid molarity: 8.547506722080037 M
    - Volume in alpha vial: 0.000738 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.5982921559129344,Gamma-Butyrolactone,6.588397596353773,0.6490511622302049,8.225520088098465,0.000725,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5982921559129344, 6.588397596353773, 0.6490511622302049, 8.225520088098465, 0.000725, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.5982921559129344 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.588397596353773 M
    - Inorganic molarity: 0.6490511622302049 M
    - Acid molarity: 8.225520088098465 M
    - Volume in alpha vial: 0.000725 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.7836435080903108,Gamma-Butyrolactone,6.552434664089679,0.4773291058553973,8.225520088098465,0.000725,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7836435080903108, 6.552434664089679, 0.4773291058553973, 8.225520088098465, 0.000725, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.7836435080903108 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.552434664089679 M
    - Inorganic molarity: 0.4773291058553973 M
    - Acid molarity: 8.225520088098465 M
    - Volume in alpha vial: 0.000725 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.513160314512798,Gamma-Butyrolactone,8.325248068048682,0.6803573664104938,4.815048038477717,0.000611,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.513160314512798, 8.325248068048682, 0.6803573664104938, 4.815048038477717, 0.000611, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.513160314512798 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.325248068048682 M
    - Inorganic molarity: 0.6803573664104938 M
    - Acid molarity: 4.815048038477717 M
    - Volume in alpha vial: 0.000611 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,2.393373785105114,Gamma-Butyrolactone,6.781448070211277,0.1945191660287852,6.958396377378611,0.000678,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.393373785105114, 6.781448070211277, 0.1945191660287852, 6.958396377378611, 0.000678, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 2.393373785105114 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.781448070211277 M
    - Inorganic molarity: 0.1945191660287852 M
    - Acid molarity: 6.958396377378611 M
    - Volume in alpha vial: 0.000678 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,0.9604236688245285,Gamma-Butyrolactone,7.332746704285276,0.3672898343331908,8.692320809943958,0.000744,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.9604236688245285, 7.332746704285276, 0.3672898343331908, 8.692320809943958, 0.000744, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 0.9604236688245285 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.332746704285276 M
    - Inorganic molarity: 0.3672898343331908 M
    - Acid molarity: 8.692320809943958 M
    - Volume in alpha vial: 0.000744 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.7756172311203675,Gamma-Butyrolactone,7.195418124090429,0.0074196340122371,7.865597346315755,0.0007109999999999,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7756172311203675, 7.195418124090429, 0.0074196340122371, 7.865597346315755, 0.0007109999999999, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.7756172311203675 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.195418124090429 M
    - Inorganic molarity: 0.0074196340122371 M
    - Acid molarity: 7.865597346315755 M
    - Volume in alpha vial: 0.0007109999999999 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.5114400195267066,Gamma-Butyrolactone,6.850649081557919,0.3397446381793629,8.498710670734585,0.000736,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5114400195267066, 6.850649081557919, 0.3397446381793629, 8.498710670734585, 0.000736, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.5114400195267066 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.850649081557919 M
    - Inorganic molarity: 0.3397446381793629 M
    - Acid molarity: 8.498710670734585 M
    - Volume in alpha vial: 0.000736 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.510699384422257,Gamma-Butyrolactone,8.099366304156657,0.704510327320537,5.232821500668312,0.000623,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.510699384422257, 8.099366304156657, 0.704510327320537, 5.232821500668312, 0.000623, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.510699384422257 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.099366304156657 M
    - Inorganic molarity: 0.704510327320537 M
    - Acid molarity: 5.232821500668312 M
    - Volume in alpha vial: 0.000623 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,0.4061680648067055,Gamma-Butyrolactone,8.82414047774715,0.1064193616106759,7.409025939103741,0.000694,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.4061680648067055, 8.82414047774715, 0.1064193616106759, 7.409025939103741, 0.000694, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 0.4061680648067055 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.82414047774715 M
    - Inorganic molarity: 0.1064193616106759 M
    - Acid molarity: 7.409025939103741 M
    - Volume in alpha vial: 0.000694 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,0.891996157082709,Gamma-Butyrolactone,8.440450806449029,0.253969772599556,6.813180498925211,0.000673,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.891996157082709, 8.440450806449029, 0.253969772599556, 6.813180498925211, 0.000673, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 0.891996157082709 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.440450806449029 M
    - Inorganic molarity: 0.253969772599556 M
    - Acid molarity: 6.813180498925211 M
    - Volume in alpha vial: 0.000673 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,2.842316344579262,Gamma-Butyrolactone,8.31806898938552,0.1236851671965339,2.9658624829200506,0.000563,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.842316344579262, 8.31806898938552, 0.1236851671965339, 2.9658624829200506, 0.000563, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 2.842316344579262 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.31806898938552 M
    - Inorganic molarity: 0.1236851671965339 M
    - Acid molarity: 2.9658624829200506 M
    - Volume in alpha vial: 0.000563 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.2140041126236991,Gamma-Butyrolactone,7.878662852185113,0.3952629453704916,6.95839637737861,0.000678,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.2140041126236991, 7.878662852185113, 0.3952629453704916, 6.95839637737861, 0.000678, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.2140041126236991 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.878662852185113 M
    - Inorganic molarity: 0.3952629453704916 M
    - Acid molarity: 6.95839637737861 M
    - Volume in alpha vial: 0.000678 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.566692070865373,Gamma-Butyrolactone,6.47618548970116,0.6130823531246707,8.596039010985782,0.00074,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.566692070865373, 6.47618548970116, 0.6130823531246707, 8.596039010985782, 0.00074, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.566692070865373 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.47618548970116 M
    - Inorganic molarity: 0.6130823531246707 M
    - Acid molarity: 8.596039010985782 M
    - Volume in alpha vial: 0.00074 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,0.3253806655194775,Gamma-Butyrolactone,8.394019604255474,0.0042600482767433,8.668347549099728,0.000743,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.3253806655194775, 8.394019604255474, 0.0042600482767433, 8.668347549099728, 0.000743, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 0.3253806655194775 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.394019604255474 M
    - Inorganic molarity: 0.0042600482767433 M
    - Acid molarity: 8.668347549099728 M
    - Volume in alpha vial: 0.000743 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.5092008429285415,Gamma-Butyrolactone,6.783304745816331,0.5874500367439511,8.149568840747602,0.000722,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5092008429285415, 6.783304745816331, 0.5874500367439511, 8.149568840747602, 0.000722, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.5092008429285415 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.783304745816331 M
    - Inorganic molarity: 0.5874500367439511 M
    - Acid molarity: 8.149568840747602 M
    - Volume in alpha vial: 0.000722 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
