AF,LMABO,GP-Hedge,No-PASt-BO,SETUP-BO,ESP
EI,18.88888888888889,8.092592592592593,6.9037037037037035,7.551851851851851,7.45925925925926
LogEI,14.374074074074075,8.244444444444445,7.174074074074074,7.007407407407408,7.581481481481482
PI,4.277777777777778,8.185185185185185,9.392592592592592,9.37037037037037,9.951851851851853
LogPI,3.344444444444444,8.15925925925926,9.481481481481481,8.474074074074075,7.807407407407407
PosMean,4.9,8.596296296296297,14.025925925925925,10.725925925925926,7.692592592592592
PosSTD,5.677777777777778,7.918518518518519,11.425925925925926,9.71111111111111,10.925925925925926
UCB,8.755555555555555,9.918518518518518,5.425925925925926,8.151851851851852,7.696296296296297
TS,18.24814814814815,7.9222222222222225,5.577777777777778,7.325925925925926,8.055555555555555
qKG,3.9259259259259256,7.881481481481481,5.966666666666667,7.1,8.166666666666666
qMES,7.785185185185186,8.174074074074074,6.770370370370371,6.914814814814815,7.703703703703704
qPES,6.825925925925926,9.088888888888889,9.181481481481482,10.792592592592593,8.981481481481483
qJES,2.996296296296296,7.818518518518519,8.674074074074074,6.874074074074074,7.977777777777778
