C,gamma,test_acc
0.0009765625,0.0009765625,0.786034482758621
0.0009765625,0.001953125,0.786034482758621
0.0009765625,0.00390625,0.786034482758621
0.0009765625,0.0078125,0.786034482758621
0.0009765625,0.015625,0.786034482758621
0.0009765625,0.03125,0.827034482758621
0.0009765625,0.0625,0.912862068965517
0.0009765625,0.125,0.925206896551724
0.0009765625,0.25,0.912655172413793
0.0009765625,0.5,0.911310344827586
0.0009765625,1.0,0.903586206896552
0.0009765625,2.0,0.84
0.0009765625,4.0,0.813724137931035
0.0009765625,8.0,0.786034482758621
0.0009765625,16.0,0.786034482758621
0.0009765625,32.0,0.786034482758621
0.0009765625,64.0,0.786034482758621
0.0009765625,128.0,0.786034482758621
0.0009765625,256.0,0.786034482758621
0.0009765625,512.0,0.786034482758621
0.0009765625,1024.0,0.786034482758621
0.001953125,0.0009765625,0.786034482758621
0.001953125,0.001953125,0.786034482758621
0.001953125,0.00390625,0.786034482758621
0.001953125,0.0078125,0.786206896551724
0.001953125,0.015625,0.885275862068965
0.001953125,0.03125,0.921103448275862
0.001953125,0.0625,0.926206896551724
0.001953125,0.125,0.934241379310345
0.001953125,0.25,0.977379310344828
0.001953125,0.5,0.981586206896552
0.001953125,1.0,0.967
0.001953125,2.0,0.914758620689655
0.001953125,4.0,0.862379310344828
0.001953125,8.0,0.83048275862069
0.001953125,16.0,0.789
0.001953125,32.0,0.786034482758621
0.001953125,64.0,0.786034482758621
0.001953125,128.0,0.786034482758621
0.001953125,256.0,0.786034482758621
0.001953125,512.0,0.786034482758621
0.001953125,1024.0,0.786034482758621
0.00390625,0.0009765625,0.786034482758621
0.00390625,0.001953125,0.786034482758621
0.00390625,0.00390625,0.787241379310345
0.00390625,0.0078125,0.89451724137931
0.00390625,0.015625,0.919827586206896
0.00390625,0.03125,0.925551724137931
0.00390625,0.0625,0.935827586206897
0.00390625,0.125,0.963655172413793
0.00390625,0.25,0.989448275862069
0.00390625,0.5,0.982413793103448
0.00390625,1.0,0.982896551724138
0.00390625,2.0,0.978620689655173
0.00390625,4.0,0.952758620689655
0.00390625,8.0,0.876827586206896
0.00390625,16.0,0.832
0.00390625,32.0,0.789172413793103
0.00390625,64.0,0.786034482758621
0.00390625,128.0,0.786034482758621
0.00390625,256.0,0.786034482758621
0.00390625,512.0,0.786034482758621
0.00390625,1024.0,0.786034482758621
0.0078125,0.0009765625,0.786034482758621
0.0078125,0.001953125,0.792206896551724
0.0078125,0.00390625,0.897103448275862
0.0078125,0.0078125,0.915724137931034
0.0078125,0.015625,0.925551724137931
0.0078125,0.03125,0.934137931034483
0.0078125,0.0625,0.958206896551724
0.0078125,0.125,0.979586206896552
0.0078125,0.25,0.988655172413793
0.0078125,0.5,0.984965517241379
0.0078125,1.0,0.986551724137931
0.0078125,2.0,0.98951724137931
0.0078125,4.0,0.986551724137931
0.0078125,8.0,0.965379310344828
0.0078125,16.0,0.891379310344828
0.0078125,32.0,0.827758620689655
0.0078125,64.0,0.787620689655172
0.0078125,128.0,0.786034482758621
0.0078125,256.0,0.786034482758621
0.0078125,512.0,0.786034482758621
0.0078125,1024.0,0.786034482758621
0.015625,0.0009765625,0.795241379310345
0.015625,0.001953125,0.896241379310345
0.015625,0.00390625,0.913689655172414
0.015625,0.0078125,0.925413793103448
0.015625,0.015625,0.933620689655172
0.015625,0.03125,0.956344827586207
0.015625,0.0625,0.977310344827586
0.015625,0.125,0.988655172413793
0.015625,0.25,0.989793103448276
0.015625,0.5,0.987793103448276
0.015625,1.0,0.990689655172414
0.015625,2.0,0.991931034482759
0.015625,4.0,0.992206896551724
0.015625,8.0,0.98751724137931
0.015625,16.0,0.967068965517241
0.015625,32.0,0.888586206896552
0.015625,64.0,0.816172413793103
0.015625,128.0,0.786724137931034
0.015625,256.0,0.786034482758621
0.015625,512.0,0.786034482758621
0.015625,1024.0,0.786034482758621
0.03125,0.0009765625,0.89548275862069
0.03125,0.001953125,0.912689655172414
0.03125,0.00390625,0.923724137931034
0.03125,0.0078125,0.930896551724138
0.03125,0.015625,0.953172413793104
