,Name,M1,M2,M3,Support,M1_mol,M2_mol,M3_mol,Temp,Ar_flow,CH4_flow,O2_flow,CT,Performance
0,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,1.5,5.7,2.8,0.75,9.349467787114843
1,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,2.3,8.5,4.3,0.5,10.278794674141555
2,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,3.0,11.3,5.7,0.38,9.755488155061018
3,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,1.5,6.4,2.1,0.75,10.04910494910495
4,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,2.3,9.6,3.2,0.5,10.644793300071276
5,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,3.0,12.8,4.3,0.38,9.136434291097506
6,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,1.5,6.8,1.7,0.75,10.29292129406084
7,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,2.3,10.2,2.6,0.5,15.94520704426464
8,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,3.0,13.6,3.4,0.38,9.138185683912122
9,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,1.5,7.3,1.2,0.75,14.381300219138057
10,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,2.3,10.9,1.8,0.5,10.143893939393939
11,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,3.0,14.6,2.4,0.38,7.901264679313459
12,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,4.0,4.0,2.0,0.75,9.13785352372179
13,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,6.0,6.0,3.0,0.5,10.035554520037278
14,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,8.0,8.0,4.0,0.38,9.37028371278459
15,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,4.0,4.5,1.5,0.75,10.80057327122895
16,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,6.0,6.8,2.3,0.5,11.575416364952934
17,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,8.0,9.0,3.0,0.38,9.451127819548871
18,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,4.0,4.8,1.2,0.75,10.686801152737752
19,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,6.0,7.2,1.8,0.5,11.841171303074672
20,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,8.0,9.6,2.4,0.38,8.845278969957082
21,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,4.0,5.1,0.9,0.75,9.598265895953757
22,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,6.0,7.7,1.3,0.5,10.736410635155096
23,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,8.0,10.3,1.7,0.38,7.817735287382643
24,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,7.0,2.0,1.0,0.75,9.043527738264581
25,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,10.5,3.0,1.5,0.5,9.376363636363635
26,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,14.0,4.0,2.0,0.38,8.779046339825387
27,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,7.0,2.3,0.8,0.75,9.717890222984563
28,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,10.5,3.4,1.1,0.5,11.207481323372466
29,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,14.0,4.5,1.5,0.38,9.696586907449209
30,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,7.0,2.4,0.6,0.75,11.886512524084779
31,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,10.5,3.6,0.9,0.5,14.990641247833624
32,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,14.0,4.8,1.2,0.38,10.083916083916085
33,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,7.0,2.6,0.4,0.75,11.641648675171735
34,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,10.5,3.9,0.6,0.5,14.40691588785047
35,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,900,14.0,5.1,0.9,0.38,6.140199909132214
36,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,1.5,5.7,2.8,0.75,10.940924141339265
37,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,2.3,8.5,4.3,0.5,11.420699852143912
38,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,3.0,11.3,5.7,0.38,11.249038981088383
39,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,1.5,6.4,2.1,0.75,10.948433734939757
40,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,2.3,9.6,3.2,0.5,10.600045402951192
41,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,3.0,12.8,4.3,0.38,10.282162576687114
42,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,1.5,6.8,1.7,0.75,9.701287839917908
43,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,2.3,10.2,2.6,0.5,10.329489795918366
44,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,3.0,13.6,3.4,0.38,9.162067415730338
45,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,1.5,7.3,1.2,0.75,8.672974634896235
46,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,2.3,10.9,1.8,0.5,10.656332015810277
47,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,3.0,14.6,2.4,0.38,8.049012610040446
48,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,4.0,4.0,2.0,0.75,9.072615012106539
49,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,6.0,6.0,3.0,0.5,10.095354486861677
50,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,8.0,8.0,4.0,0.38,9.075170267301356
51,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,4.0,4.5,1.5,0.75,10.132313575525815
52,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,6.0,6.8,2.3,0.5,11.151938697318007
53,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,8.0,9.0,3.0,0.38,8.842901353965186
54,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,4.0,4.8,1.2,0.75,9.657759590792837
55,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,6.0,7.2,1.8,0.5,11.237363542739445
56,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,8.0,9.6,2.4,0.38,9.115230188679245
57,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,4.0,5.1,0.9,0.75,8.931881188118812
58,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,6.0,7.7,1.3,0.5,9.834938271604939
59,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,8.0,10.3,1.7,0.38,8.698306393244872
60,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,7.0,2.0,1.0,0.75,10.07113752122241
61,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,10.5,3.0,1.5,0.5,11.271655223148601
62,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,14.0,4.0,2.0,0.38,9.764092431346283
63,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,7.0,2.3,0.8,0.75,10.686717391304347
64,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,10.5,3.4,1.1,0.5,12.512182021633718
65,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,14.0,4.5,1.5,0.38,11.049910504003769
66,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,7.0,2.4,0.6,0.75,12.034764735017335
67,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,10.5,3.6,0.9,0.5,13.63154574132492
68,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,14.0,4.8,1.2,0.38,11.425806451612903
69,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,7.0,2.6,0.4,0.75,11.045096153846153
70,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,10.5,3.9,0.6,0.5,14.087244094488188
71,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,850,14.0,5.1,0.9,0.38,1.7983912155260475
72,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,1.5,5.7,2.8,0.75,11.46980893364317
