Fe,Cu,species,Si_Al,calcination_temp,calcination_time,Aging_O2,Aging_H2O,Aging_CO2,Aging_Temp,Aging_Time,NO,NH3,O2,H2O,GHSV,Measurement_Temp,Conversion
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,149.3208314,3.370786517
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,200.1279211,17.97752809
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,248.9212428,46.62921348
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,299.1744474,82.58426966
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,349.9564805,93.6329588
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,400.6844437,97.00374532
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,450.0013188,100.0
2.5,0.0,ZSM-5,10.0,550.0,6.0,14.0,4.5,5.0,550.0,6.0,1000.0,1000.0,2.0,0.0,1.9,500.7055441,100.0
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,200.221954828533,36.6542545407242
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,248.750386185141,50.7780614318931
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,300.912047350363,64.903819574302
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,350.658384689181,80.1561000991885
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,400.963592903949,87.7019138522577
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,451.240345371469,90.5484642026699
2.5,0.0,ZSM-5,10.0,500.0,6.0,14.0,4.5,5.0,750.0,48.0,1000.0,1000.0,2.0,0.0,1.9,501.517097838989,93.3950145530821
2.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,200.840336134453,18.8622754491018
2.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,249.579831932773,44.9101796407185
2.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,300.0,74.251497005988
2.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,350.420168067226,91.9161676646706
