Reactant_1_Name,Reactant_2_Name,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV
6-chloroquinoline,Boronic Acid,P(tBu)3,NaOH,MeCN,4.76410921845962
6-chloroquinoline,Boronic Acid,P(Ph)3,NaOH,MeCN,4.12096203597114
6-chloroquinoline,Boronic Acid,AmPhos,NaOH,MeCN,2.58383665286105
6-chloroquinoline,Boronic Acid,P(Cy)3,NaOH,MeCN,4.44317065372505
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaOH,MeCN,1.94987400815928
6-chloroquinoline,Boronic Acid,CataCXium A,NaOH,MeCN,3.25080927899943
6-chloroquinoline,Boronic Acid,SPhos,NaOH,MeCN,86.2621224841378
6-chloroquinoline,Boronic Acid,dtbpf,NaOH,MeCN,7.54607987344501
6-chloroquinoline,Boronic Acid,XPhos,NaOH,MeCN,93.6745145376158
6-chloroquinoline,Boronic Acid,dppf,NaOH,MeCN,14.3214354734956
6-chloroquinoline,Boronic Acid,Xantphos,NaOH,MeCN,2.10830716745609
6-chloroquinoline,Boronic Acid,None,NaOH,MeCN,17.0852310620033
6-chloroquinoline,Boronic Acid,P(tBu)3,NaHCO3,MeCN,3.15768624811382
6-chloroquinoline,Boronic Acid,P(Ph)3,NaHCO3,MeCN,4.75379053091498
6-chloroquinoline,Boronic Acid,AmPhos,NaHCO3,MeCN,2.46181658212302
6-chloroquinoline,Boronic Acid,P(Cy)3,NaHCO3,MeCN,5.26714086508017
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaHCO3,MeCN,1.95634116073256
6-chloroquinoline,Boronic Acid,CataCXium A,NaHCO3,MeCN,3.34705214713383
6-chloroquinoline,Boronic Acid,SPhos,NaHCO3,MeCN,69.22093433688
6-chloroquinoline,Boronic Acid,dtbpf,NaHCO3,MeCN,5.10255242912967
6-chloroquinoline,Boronic Acid,XPhos,NaHCO3,MeCN,83.1906321409627
6-chloroquinoline,Boronic Acid,dppf,NaHCO3,MeCN,13.6803816727274
6-chloroquinoline,Boronic Acid,Xantphos,NaHCO3,MeCN,1.82471592243866
6-chloroquinoline,Boronic Acid,None,NaHCO3,MeCN,10.994082002904
6-chloroquinoline,Boronic Acid,P(tBu)3,CsF,MeCN,1.78675303928125
6-chloroquinoline,Boronic Acid,P(Ph)3,CsF,MeCN,4.35920116829955
6-chloroquinoline,Boronic Acid,AmPhos,CsF,MeCN,2.70970319261194
6-chloroquinoline,Boronic Acid,P(Cy)3,CsF,MeCN,6.48652823683892
6-chloroquinoline,Boronic Acid,P(o-Tol)3,CsF,MeCN,2.10068590036068
6-chloroquinoline,Boronic Acid,CataCXium A,CsF,MeCN,3.32272956618858
6-chloroquinoline,Boronic Acid,SPhos,CsF,MeCN,68.4440016475539
6-chloroquinoline,Boronic Acid,dtbpf,CsF,MeCN,5.83810017338261
6-chloroquinoline,Boronic Acid,XPhos,CsF,MeCN,73.0197105076637
6-chloroquinoline,Boronic Acid,dppf,CsF,MeCN,13.1958561281243
6-chloroquinoline,Boronic Acid,Xantphos,CsF,MeCN,2.10098201074023
6-chloroquinoline,Boronic Acid,None,CsF,MeCN,10.218888659788
6-chloroquinoline,Boronic Acid,P(tBu)3,K3PO4,MeCN,3.00400388935548
6-chloroquinoline,Boronic Acid,P(Ph)3,K3PO4,MeCN,4.7313701172475
6-chloroquinoline,Boronic Acid,AmPhos,K3PO4,MeCN,2.5779797728445
6-chloroquinoline,Boronic Acid,P(Cy)3,K3PO4,MeCN,5.8267255162714
6-chloroquinoline,Boronic Acid,P(o-Tol)3,K3PO4,MeCN,1.88178466778928
6-chloroquinoline,Boronic Acid,CataCXium A,K3PO4,MeCN,3.68610190848114
6-chloroquinoline,Boronic Acid,SPhos,K3PO4,MeCN,53.3442477399675
6-chloroquinoline,Boronic Acid,dtbpf,K3PO4,MeCN,5.80499299101468
6-chloroquinoline,Boronic Acid,XPhos,K3PO4,MeCN,60.6695362355924
6-chloroquinoline,Boronic Acid,dppf,K3PO4,MeCN,14.3933392770758
6-chloroquinoline,Boronic Acid,Xantphos,K3PO4,MeCN,2.26866296700559
6-chloroquinoline,Boronic Acid,None,K3PO4,MeCN,10.0003095895518
6-chloroquinoline,Boronic Acid,P(tBu)3,KOH,MeCN,5.5969019412474
6-chloroquinoline,Boronic Acid,P(Ph)3,KOH,MeCN,4.82196101450088
6-chloroquinoline,Boronic Acid,AmPhos,KOH,MeCN,2.48590898286748
6-chloroquinoline,Boronic Acid,P(Cy)3,KOH,MeCN,6.45624672939622
6-chloroquinoline,Boronic Acid,P(o-Tol)3,KOH,MeCN,2.05952841211658
6-chloroquinoline,Boronic Acid,CataCXium A,KOH,MeCN,3.21864784308256
6-chloroquinoline,Boronic Acid,SPhos,KOH,MeCN,78.4174228193668
6-chloroquinoline,Boronic Acid,dtbpf,KOH,MeCN,8.93977444085733
6-chloroquinoline,Boronic Acid,XPhos,KOH,MeCN,92.2242386465952
6-chloroquinoline,Boronic Acid,dppf,KOH,MeCN,14.2206754932286
6-chloroquinoline,Boronic Acid,Xantphos,KOH,MeCN,2.3455596596732
6-chloroquinoline,Boronic Acid,None,KOH,MeCN,18.1597678162321
6-chloroquinoline,Boronic Acid,P(tBu)3,LiOtBu,MeCN,7.0788779533304
6-chloroquinoline,Boronic Acid,P(Ph)3,LiOtBu,MeCN,5.4483808696152
6-chloroquinoline,Boronic Acid,AmPhos,LiOtBu,MeCN,1.99054888114825
6-chloroquinoline,Boronic Acid,P(Cy)3,LiOtBu,MeCN,6.08313547812363
6-chloroquinoline,Boronic Acid,P(o-Tol)3,LiOtBu,MeCN,2.45280550760324
6-chloroquinoline,Boronic Acid,CataCXium A,LiOtBu,MeCN,3.56636244233208
6-chloroquinoline,Boronic Acid,SPhos,LiOtBu,MeCN,85.7734226150222
6-chloroquinoline,Boronic Acid,dtbpf,LiOtBu,MeCN,9.78109907191012
6-chloroquinoline,Boronic Acid,XPhos,LiOtBu,MeCN,92.8344072930483
6-chloroquinoline,Boronic Acid,dppf,LiOtBu,MeCN,15.410461843799
6-chloroquinoline,Boronic Acid,Xantphos,LiOtBu,MeCN,2.42654830002009
6-chloroquinoline,Boronic Acid,None,LiOtBu,MeCN,17.1759038844819
6-chloroquinoline,Boronic Acid,P(tBu)3,Et3N,MeCN,7.82316946168684
6-chloroquinoline,Boronic Acid,P(Ph)3,Et3N,MeCN,6.14029657993896
6-chloroquinoline,Boronic Acid,AmPhos,Et3N,MeCN,2.13374309510393
6-chloroquinoline,Boronic Acid,P(Cy)3,Et3N,MeCN,5.05213723181808
6-chloroquinoline,Boronic Acid,P(o-Tol)3,Et3N,MeCN,1.98028622008522
6-chloroquinoline,Boronic Acid,CataCXium A,Et3N,MeCN,4.46807824701397
6-chloroquinoline,Boronic Acid,SPhos,Et3N,MeCN,78.957919561643
6-chloroquinoline,Boronic Acid,dtbpf,Et3N,MeCN,6.99621084980946
6-chloroquinoline,Boronic Acid,XPhos,Et3N,MeCN,90.3017535211921
6-chloroquinoline,Boronic Acid,dppf,Et3N,MeCN,15.3607442237364
6-chloroquinoline,Boronic Acid,Xantphos,Et3N,MeCN,2.50927994144339
6-chloroquinoline,Boronic Acid,None,Et3N,MeCN,19.5108844387778
6-chloroquinoline,Boronic Acid,P(tBu)3,None,MeCN,9.75908286686094
6-chloroquinoline,Boronic Acid,P(Ph)3,None,MeCN,4.15312486926772
6-chloroquinoline,Boronic Acid,AmPhos,None,MeCN,1.53223611769088
6-chloroquinoline,Boronic Acid,P(Cy)3,None,MeCN,5.79692311337673
6-chloroquinoline,Boronic Acid,P(o-Tol)3,None,MeCN,2.64661537803254
6-chloroquinoline,Boronic Acid,CataCXium A,None,MeCN,4.42903768983828
6-chloroquinoline,Boronic Acid,SPhos,None,MeCN,66.8041426775335
6-chloroquinoline,Boronic Acid,dtbpf,None,MeCN,6.42130859194569
6-chloroquinoline,Boronic Acid,XPhos,None,MeCN,78.2264541946686
6-chloroquinoline,Boronic Acid,dppf,None,MeCN,13.9540113252438
6-chloroquinoline,Boronic Acid,Xantphos,None,MeCN,2.1103931503683
6-chloroquinoline,Boronic Acid,None,None,MeCN,8.28740356846637
6-chloroquinoline,Boronic Acid,P(tBu)3,NaOH,THF,33.7884226000348
6-chloroquinoline,Boronic Acid,P(Ph)3,NaOH,THF,8.08389406174481
6-chloroquinoline,Boronic Acid,AmPhos,NaOH,THF,61.2000810462792
6-chloroquinoline,Boronic Acid,P(Cy)3,NaOH,THF,69.9420492553848
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaOH,THF,7.2041205533469
6-chloroquinoline,Boronic Acid,CataCXium A,NaOH,THF,79.46758861973
6-chloroquinoline,Boronic Acid,SPhos,NaOH,THF,87.0599138552419
6-chloroquinoline,Boronic Acid,dtbpf,NaOH,THF,12.7035086532037
6-chloroquinoline,Boronic Acid,XPhos,NaOH,THF,88.966679030845
6-chloroquinoline,Boronic Acid,dppf,NaOH,THF,27.9254607314512
6-chloroquinoline,Boronic Acid,Xantphos,NaOH,THF,6.1056671566937
